Hora,Nome,ccu
19/04/2021 14:41,Counter-Strike: Global Offensive,928453
19/04/2021 14:41,Dota 2,521058
19/04/2021 14:41,Source SDK Base 2013 Multiplayer,163725
19/04/2021 14:41,PLAYERUNKNOWN'S BATTLEGROUNDS,151938
19/04/2021 14:41,Path of Exile,128874
19/04/2021 14:41,Apex Legends,124867
19/04/2021 14:41,Team Fortress 2,95311
19/04/2021 14:41,Rust,95234
19/04/2021 15:11,Counter-Strike: Global Offensive,954709
19/04/2021 15:11,Dota 2,509568
19/04/2021 15:11,Source SDK Base 2013 Multiplayer,168200
19/04/2021 15:11,PLAYERUNKNOWN'S BATTLEGROUNDS,137665
19/04/2021 15:11,Path of Exile,130589
19/04/2021 15:11,Apex Legends,120296
19/04/2021 15:11,Team Fortress 2,98174
19/04/2021 15:11,Rust,96986
19/04/2021 15:41,Counter-Strike: Global Offensive,973333
19/04/2021 15:41,Dota 2,501328
19/04/2021 15:41,Source SDK Base 2013 Multiplayer,173569
19/04/2021 15:41,Path of Exile,132514
19/04/2021 15:41,PLAYERUNKNOWN'S BATTLEGROUNDS,129966
19/04/2021 15:41,Apex Legends,119277
19/04/2021 15:41,Team Fortress 2,99881
19/04/2021 15:41,Rust,97926
19/04/2021 16:11,Counter-Strike: Global Offensive,972711
19/04/2021 16:11,Dota 2,474757
19/04/2021 16:11,Source SDK Base 2013 Multiplayer,175838
19/04/2021 16:11,Path of Exile,132715
19/04/2021 16:11,PLAYERUNKNOWN'S BATTLEGROUNDS,121660
19/04/2021 16:11,Apex Legends,117444
19/04/2021 16:11,Team Fortress 2,99860
19/04/2021 16:11,Rust,98306
19/04/2021 16:41,Counter-Strike: Global Offensive,955153
19/04/2021 16:41,Dota 2,456379
19/04/2021 16:41,Source SDK Base 2013 Multiplayer,177736
19/04/2021 16:41,Path of Exile,131660
19/04/2021 16:41,Apex Legends,114830
19/04/2021 16:41,PLAYERUNKNOWN'S BATTLEGROUNDS,114777
19/04/2021 16:41,Team Fortress 2,98813
19/04/2021 16:41,Rust,97740
19/04/2021 17:11,Counter-Strike: Global Offensive,908827
19/04/2021 17:11,Dota 2,445359
19/04/2021 17:11,Source SDK Base 2013 Multiplayer,175847
19/04/2021 17:11,Path of Exile,129882
19/04/2021 17:11,Apex Legends,111333
19/04/2021 17:11,PLAYERUNKNOWN'S BATTLEGROUNDS,106014
19/04/2021 17:11,Team Fortress 2,98352
19/04/2021 17:11,Rust,96446
19/04/2021 17:41,Counter-Strike: Global Offensive,838251
19/04/2021 17:41,Dota 2,426563
19/04/2021 17:41,Source SDK Base 2013 Multiplayer,169020
19/04/2021 17:41,Path of Exile,125693
19/04/2021 17:41,Apex Legends,106140
19/04/2021 17:41,Team Fortress 2,97781
19/04/2021 17:41,PLAYERUNKNOWN'S BATTLEGROUNDS,95526
19/04/2021 17:41,Rust,93413
19/04/2021 18:11,Counter-Strike: Global Offensive,759409
19/04/2021 18:11,Dota 2,397951
19/04/2021 18:11,Source SDK Base 2013 Multiplayer,160171
19/04/2021 18:11,Path of Exile,120490
19/04/2021 18:11,Apex Legends,100191
19/04/2021 18:11,Team Fortress 2,97160
19/04/2021 18:11,Rust,89810
19/04/2021 18:11,Rocket League,89581
19/04/2021 18:41,Counter-Strike: Global Offensive,679383
19/04/2021 18:41,Dota 2,368149
19/04/2021 18:41,Source SDK Base 2013 Multiplayer,150692
19/04/2021 18:41,Path of Exile,113690
19/04/2021 18:41,Team Fortress 2,97416
19/04/2021 18:41,Apex Legends,94139
19/04/2021 18:41,Rust,85995
19/04/2021 18:41,Rocket League,84093
19/04/2021 19:11,Counter-Strike: Global Offensive,605132
19/04/2021 19:11,Dota 2,335929
19/04/2021 19:11,Source SDK Base 2013 Multiplayer,136587
19/04/2021 19:11,Path of Exile,105195
19/04/2021 19:11,Team Fortress 2,97718
19/04/2021 19:11,Rust,82141
19/04/2021 19:11,Apex Legends,81606
19/04/2021 19:11,Rocket League,73981
19/04/2021 19:41,Counter-Strike: Global Offensive,547080
19/04/2021 19:41,Dota 2,312548
19/04/2021 19:41,Source SDK Base 2013 Multiplayer,128469
19/04/2021 19:41,Path of Exile,98313
19/04/2021 19:41,Team Fortress 2,98294
19/04/2021 19:41,Apex Legends,81735
19/04/2021 19:41,Rust,79191
19/04/2021 19:41,Rocket League,65195
19/04/2021 21:19,Counter-Strike: Global Offensive,442093
19/04/2021 21:19,Dota 2,254665
19/04/2021 21:19,Source SDK Base 2013 Multiplayer,106656
19/04/2021 21:19,Team Fortress 2,96652
19/04/2021 21:19,Apex Legends,85039
19/04/2021 21:19,Path of Exile,83788
19/04/2021 21:19,Rust,73182
19/04/2021 21:19,Valheim,56602
19/04/2021 21:49,Counter-Strike: Global Offensive,422398
19/04/2021 21:49,Dota 2,260947
19/04/2021 21:49,Source SDK Base 2013 Multiplayer,102761
19/04/2021 21:49,Team Fortress 2,99595
19/04/2021 21:49,Apex Legends,87592
19/04/2021 21:49,Path of Exile,81066
19/04/2021 21:49,Rust,71487
19/04/2021 21:49,Valheim,58464
19/04/2021 22:19,Counter-Strike: Global Offensive,421009
19/04/2021 22:19,Dota 2,262698
19/04/2021 22:19,Team Fortress 2,100740
19/04/2021 22:19,Source SDK Base 2013 Multiplayer,97294
19/04/2021 22:19,Apex Legends,89726
19/04/2021 22:19,Path of Exile,77802
19/04/2021 22:19,Rust,69399
19/04/2021 22:19,PLAYERUNKNOWN'S BATTLEGROUNDS,60994
19/04/2021 22:49,Counter-Strike: Global Offensive,421105
19/04/2021 22:49,Dota 2,270038
19/04/2021 22:49,Team Fortress 2,102615
19/04/2021 22:49,Source SDK Base 2013 Multiplayer,93670
19/04/2021 22:49,Apex Legends,92660
19/04/2021 22:49,Path of Exile,75910
19/04/2021 22:49,PLAYERUNKNOWN'S BATTLEGROUNDS,70220
19/04/2021 22:49,Rust,67902
19/04/2021 23:19,Counter-Strike: Global Offensive,422010
19/04/2021 23:19,Dota 2,278247
19/04/2021 23:19,Team Fortress 2,102787
19/04/2021 23:19,Apex Legends,95353
19/04/2021 23:19,Source SDK Base 2013 Multiplayer,88220
19/04/2021 23:19,PLAYERUNKNOWN'S BATTLEGROUNDS,79981
19/04/2021 23:19,Path of Exile,73330
19/04/2021 23:19,Rust,65088
19/04/2021 23:49,Counter-Strike: Global Offensive,422251
19/04/2021 23:49,Dota 2,286878
19/04/2021 23:49,Team Fortress 2,101240
19/04/2021 23:49,Apex Legends,98334
19/04/2021 23:49,PLAYERUNKNOWN'S BATTLEGROUNDS,89573
19/04/2021 23:49,Source SDK Base 2013 Multiplayer,83227
19/04/2021 23:49,Path of Exile,70539
19/04/2021 23:49,Rust,61902
20/04/2021 00:00,Counter-Strike: Global Offensive,421635
20/04/2021 00:00,Dota 2,288992
20/04/2021 00:00,Team Fortress 2,100945
20/04/2021 00:00,Apex Legends,98652
20/04/2021 00:00,PLAYERUNKNOWN'S BATTLEGROUNDS,92342
20/04/2021 00:00,Source SDK Base 2013 Multiplayer,81568
20/04/2021 00:00,Path of Exile,69682
20/04/2021 00:00,Rust,60826
20/04/2021 00:19,Counter-Strike: Global Offensive,415696
20/04/2021 00:19,Dota 2,290727
20/04/2021 00:19,Team Fortress 2,99977
20/04/2021 00:19,Apex Legends,98341
